GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chatapp,com.example.chatapp.service,ChatService,2,142,1,9,0,33,1,11,0,7
chatapp,com.example.chatapp.engine,OllamaChatEngine,45,391,16,24,10,84,14,16,0,10
chatapp,com.example.chatapp.engine,OllamaChatEngine.Constants,3,0,0,0,1,0,1,0,1,0
chatapp,com.example.chatapp.engine,ModelInfo,0,15,0,0,0,6,0,3,0,3
chatapp,com.example.chatapp.engine,InMemoryChatContextService,0,37,0,0,0,8,0,5,0,5
chatapp,com.example.chatapp.controller,ChatController,0,65,3,3,0,18,3,7,0,7
chatapp,com.example.chatapp.controller,SendMessageRequest,0,39,0,0,0,16,0,11,0,11
chatapp,com.example.chatapp.controller,GlobalExceptionHandler,0,40,0,0,0,10,0,4,0,4
chatapp,com.example.chatapp.controller,ResetContextRequest,0,17,0,0,0,7,0,5,0,5
chatapp,com.example.chatapp.controller,CorsConfig,37,0,0,0,9,0,3,0,3,0
chatapp,com.example.chatapp,Application,12,0,0,0,4,0,3,0,3,0
